Date,Index,Price
2014-08-25,690,503.82
2014-08-26,691,512.18
2014-08-27,692,511.87
2014-08-28,693,506.0
2014-08-29,694,509.3
2014-09-01,695,474.54
2014-09-02,696,474.5
2014-09-03,697,474.89
2014-09-04,698,487.43
2014-09-05,699,477.65
2014-09-08,700,468.33
2014-09-09,701,473.2
2014-09-10,702,476.57
2014-09-11,703,475.9
2014-09-12,704,474.62
2014-09-15,705,469.47
2014-09-16,706,462.02
2014-09-17,707,457.334015
2014-09-18,708,424.440002
2014-09-19,709,394.79599
2014-09-22,710,402.152008
2014-09-23,711,435.790985
2014-09-24,712,423.204987
2014-09-25,713,411.574005
2014-09-26,714,404.424988
2014-09-29,715,375.46701
2014-09-30,716,386.944
2014-10-01,717,383.61499
2014-10-02,718,375.071991
2014-10-03,719,359.511993
2014-10-06,720,330.07901
2014-10-07,721,336.187012
2014-10-08,722,352.940002
2014-10-09,723,365.026001
2014-10-10,724,361.562012
2014-10-13,725,390.414001
2014-10-14,726,400.869995
2014-10-15,727,394.77301
2014-10-16,728,382.556
2014-10-17,729,383.757996
2014-10-20,730,382.845001
2014-10-21,731,386.475006
2014-10-22,732,383.15799
2014-10-23,733,358.416992
2014-10-24,734,358.345001
2014-10-27,735,352.989014
2014-10-28,736,357.618011
2014-10-29,737,335.591003
2014-10-30,738,345.304993
2014-10-31,739,338.321014
2014-11-03,740,327.553986
2014-11-04,741,330.492004
2014-11-05,742,339.485992
2014-11-06,743,349.290009
2014-11-07,744,342.415009
2014-11-10,745,366.924011
2014-11-11,746,367.695007
2014-11-12,747,423.561005
2014-11-13,748,420.734985
2014-11-14,749,397.817993
2014-11-17,750,387.40799
2014-11-18,751,375.197998
2014-11-19,752,380.554993
2014-11-20,753,357.839996
2014-11-21,754,350.847992
2014-11-24,755,376.901001
2014-11-25,756,375.347992
2014-11-26,757,368.369995
2014-11-27,758,369.670013
2014-11-28,759,376.446991
2014-12-01,760,379.244995
2014-12-02,761,381.315002
2014-12-03,762,375.01001
2014-12-04,763,369.604004
2014-12-05,764,376.854004
2014-12-08,765,361.908997
2014-12-09,766,352.218994
2014-12-10,767,346.36499
2014-12-11,768,350.506012
2014-12-12,769,352.541992
2014-12-15,770,345.345001
2014-12-16,771,327.062012
2014-12-17,772,319.776001
2014-12-18,773,311.395996
2014-12-19,774,317.842987
2014-12-22,775,331.885986
2014-12-23,776,334.571991
2014-12-24,777,322.533997
2014-12-25,778,319.007996
2014-12-26,779,327.924011
2014-12-29,780,312.670013
2014-12-30,781,310.737
2014-12-31,782,320.192993
2015-01-01,783,314.248993
2015-01-02,784,315.032013
2015-01-05,785,274.473999
2015-01-06,786,286.188995
2015-01-07,787,294.337006
2015-01-08,788,283.348999
2015-01-09,789,290.40799
2015-01-12,790,267.79599
2015-01-13,791,225.860992
2015-01-14,792,178.102997
2015-01-15,793,209.843994
2015-01-16,794,208.097
2015-01-19,795,214.860992
2015-01-20,796,211.315002
2015-01-21,797,226.897003
2015-01-22,798,233.406006
2015-01-23,799,232.878998
2015-01-26,800,273.472992
2015-01-27,801,263.475006
2015-01-28,802,233.914993
2015-01-29,803,233.513
2015-01-30,804,226.425003
2015-02-02,805,238.229004
2015-02-03,806,227.268005
2015-02-04,807,226.852997
2015-02-05,808,217.110992
2015-02-06,809,222.266006
2015-02-09,810,220.110001
2015-02-10,811,219.839005
2015-02-11,812,219.184998
2015-02-12,813,221.764008
2015-02-13,814,235.427002
2015-02-16,815,233.843002
2015-02-17,816,243.610001
2015-02-18,817,236.326004
2015-02-19,818,240.283005
2015-02-20,819,243.779007
2015-02-23,820,238.891998
2015-02-24,821,238.735001
2015-02-25,822,237.470001
2015-02-26,823,236.425995
2015-02-27,824,253.828003
2015-03-02,825,275.670013
2015-03-03,826,281.701996
2015-03-04,827,273.09201
2015-03-05,828,276.178009
2015-03-06,829,272.722992
2015-03-09,830,289.606995
2015-03-10,831,291.76001
2015-03-11,832,296.378998
2015-03-12,833,294.354004
2015-03-13,834,285.337006
2015-03-16,835,290.592987
2015-03-17,836,285.505005
2015-03-18,837,256.299011
2015-03-19,838,260.928009
2015-03-20,839,261.748993
2015-03-23,840,266.73999
2015-03-24,841,245.595001
2015-03-25,842,246.197006
2015-03-26,843,248.531998
2015-03-27,844,247.029007
2015-03-30,845,247.526001
2015-03-31,846,244.223999
2015-04-01,847,247.272003
2015-04-02,848,253.005005
2015-04-03,849,254.322006
2015-04-06,850,255.492004
2015-04-07,851,253.179993
2015-04-08,852,245.022003
2015-04-09,853,243.675995
2015-04-10,854,236.072006
2015-04-13,855,224.587006
2015-04-14,856,219.158997
2015-04-15,857,223.832993
2015-04-16,858,228.572998
2015-04-17,859,222.882004
2015-04-20,860,224.626007
2015-04-21,861,235.268997
2015-04-22,862,234.175995
2015-04-23,863,236.462006
2015-04-24,864,231.268005
2015-04-27,865,229.285995
2015-04-28,866,225.854996
2015-04-29,867,225.807999
2015-04-30,868,236.145004
2015-05-01,869,232.078995
2015-05-04,870,239.018005
2015-05-05,871,236.121002
2015-05-06,872,229.781998
2015-05-07,873,237.334
2015-05-08,874,243.863007
2015-05-11,875,242.158005
2015-05-12,876,241.112
2015-05-13,877,236.376999
2015-05-14,878,236.929001
2015-05-15,879,237.604996
2015-05-18,880,233.128006
2015-05-19,881,231.947006
2015-05-20,882,234.018005
2015-05-21,883,235.343994
2015-05-22,884,240.348007
2015-05-25,885,237.110001
2015-05-26,886,237.115997
2015-05-27,887,237.283005
2015-05-28,888,237.408005
2015-05-29,889,237.095993
2015-06-01,890,222.925995
2015-06-02,891,225.802994
2015-06-03,892,225.873993
2015-06-04,893,224.324005
2015-06-05,894,224.951996
2015-06-08,895,228.488998
2015-06-09,896,229.048004
2015-06-10,897,228.802994
2015-06-11,898,229.705002
2015-06-12,899,229.981995
2015-06-15,900,236.822998
2015-06-16,901,250.895004
2015-06-17,902,249.283997
2015-06-18,903,249.007004
2015-06-19,904,244.606003
2015-06-22,905,246.990005
2015-06-23,906,244.296005
2015-06-24,907,240.514999
2015-06-25,908,242.798996
2015-06-26,909,243.593994
2015-06-29,910,257.063995
2015-06-30,911,263.071991
2015-07-01,912,258.621002
2015-07-02,913,255.412003
2015-07-03,914,256.335999
2015-07-06,915,269.029999
2015-07-07,916,266.207001
2015-07-08,917,270.785004
2015-07-09,918,269.227997
2015-07-10,919,284.894012
2015-07-13,920,292.053986
2015-07-14,921,287.463989
2015-07-15,922,285.82901
2015-07-16,923,278.088989
2015-07-17,924,279.471985
2015-07-20,925,278.980988
2015-07-21,926,275.833008
2015-07-22,927,277.221985
2015-07-23,928,276.049011
2015-07-24,929,288.278015
2015-07-27,930,293.623993
2015-07-28,931,294.427002
2015-07-29,932,289.589996
2015-07-30,933,287.721985
2015-07-31,934,284.649994
2015-08-03,935,281.22699
2015-08-04,936,285.217987
2015-08-05,937,281.881989
2015-08-06,938,278.576996
2015-08-07,939,279.584991
2015-08-10,940,264.470001
2015-08-11,941,270.385986
2015-08-12,942,266.376007
2015-08-13,943,264.079987
2015-08-14,944,265.679993
2015-08-17,945,257.976013
2015-08-18,946,211.078995
2015-08-19,947,226.684006
2015-08-20,948,235.350006
2015-08-21,949,232.569
2015-08-24,950,210.494995
2015-08-25,951,221.608994
2015-08-26,952,225.830994
2015-08-27,953,224.768997
2015-08-28,954,231.395996
2015-08-31,955,230.056
2015-09-01,956,228.121002
2015-09-02,957,229.283997
2015-09-03,958,227.182999
2015-09-04,959,230.298004
2015-09-07,960,239.847
2015-09-08,961,243.606995
2015-09-09,962,238.167999
2015-09-10,963,238.477005
2015-09-11,964,240.106995
2015-09-14,965,230.643997
2015-09-15,966,230.304001
2015-09-16,967,229.091003
2015-09-17,968,229.809998
2015-09-18,969,232.975006
2015-09-21,970,227.085007
2015-09-22,971,230.617996
2015-09-23,972,230.283005
2015-09-24,973,234.529007
2015-09-25,974,235.143997
2015-09-28,975,239.141998
2015-09-29,976,236.686996
2015-09-30,977,236.059998
2015-10-01,978,237.548996
2015-10-02,979,237.292999
2015-10-05,980,240.382996
2015-10-06,981,246.063004
2015-10-07,982,242.968994
2015-10-08,983,242.304001
2015-10-09,984,243.931
2015-10-12,985,245.307999
2015-10-13,986,249.507996
2015-10-14,987,251.988998
2015-10-15,988,254.320007
2015-10-16,989,262.868988
2015-10-19,990,263.437012
2015-10-20,991,269.463013
2015-10-21,992,266.272003
2015-10-22,993,274.02301
2015-10-23,994,276.496002
2015-10-26,995,285.299988
2015-10-27,996,293.787994
2015-10-28,997,304.618011
2015-10-29,998,313.855011
2015-10-30,999,328.015015
2015-11-02,1000,361.188995
2015-11-03,1001,403.416992
2015-11-04,1002,411.562988
2015-11-05,1003,386.354004
2015-11-06,1004,374.470001
2015-11-09,1005,380.256989
2015-11-10,1006,336.819
2015-11-11,1007,311.084015
2015-11-12,1008,338.152008
2015-11-13,1009,336.752991
2015-11-16,1010,330.751007
2015-11-17,1011,335.093994
2015-11-18,1012,334.589996
2015-11-19,1013,326.148987
2015-11-20,1014,322.022003
2015-11-23,1015,323.04599
2015-11-24,1016,320.04599
2015-11-25,1017,328.205994
2015-11-26,1018,352.68399
2015-11-27,1019,358.041992
2015-11-30,1020,377.321014
2015-12-01,1021,362.488007
2015-12-02,1022,359.187012
2015-12-03,1023,361.04599
2015-12-04,1024,363.183014
2015-12-07,1025,395.536011
2015-12-08,1026,415.562988
2015-12-09,1027,417.562988
2015-12-10,1028,415.479004
2015-12-11,1029,451.937988
2015-12-14,1030,444.182007
2015-12-15,1031,465.321014
2015-12-16,1032,454.93399
2015-12-17,1033,456.078003
2015-12-18,1034,463.615997
2015-12-21,1035,438.639008
2015-12-22,1036,436.571991
2015-12-23,1037,442.401001
2015-12-24,1038,454.984985
2015-12-25,1039,455.653015
2015-12-28,1040,422.278992
2015-12-29,1041,432.983002
2015-12-30,1042,426.619995
2015-12-31,1043,430.566986
2016-01-01,1044,434.334015
